glyph_unified	src_ref	pronunciation	meaning
뼁	U0-35903	ŋɯ²¹	是。为何。〖总是〗。〖母子关系〗。
맕	U0-35904	ŋɯ²¹	浓稠。
띸	U0-35905	ŋɯ²¹	〖乌龟〗。
뱫	U0-35906	ŋɤ⁵⁵	炎热。
녁	U0-35907	ŋɤ³³	倾斜。
삟	U0-35908	ŋɤ²¹	词，〖词典〗。
벦	U0-35909	ŋə²¹	悬（空）。〖摆额博，西山〗。
뒹	U0-35910	ŋɤ²¹	〖额头〗。
렶	U0-36001	ŋui¹³	饿。
끕	U0-36002	xɪ³³	（绵羊）毛。棉。
뗀	U0-36003	xɪ³³	喷（水）。
맅	U0-36004	xɪ³³	擤，〖擤鼻涕〗。
낄	U0-36005	xɪ³³	（重叠词缀）〖很凶猛〗。
릉	U0-36006	xɪ¹³	新。辛（天干的第八位）。
눷	U0-36007	xɪ¹³	害。
띢	U0-36008	xe⁵⁵	带，领。
뱗	U0-36101	xe⁵⁵	迎接。
렀	U0-36102	xe⁵⁵	好色。
밿	U0-36103	xe³³	划（破）。
덓	U0-36104	xe³³	（石）沙。
댁	U0-36105	xe²¹	小（路），毛（路）。
뙌	U0-36106	xe²¹	（布）缝接。
뗁	U0-36107	xe²¹	铠甲。
뒺	U0-36108	xe²¹	华（美）。
삧	U0-36109	xe²¹	饱满，壮实（指植物的果实），〖苞谷籽粒饱满壮实〗，〖（籽粒）饱满，壮实〗。
롰	U0-36110	xɑ³³	摸（黑）。
몛	U0-36111	xɑ¹³	摘。扯。
밈	U0-36112	xɑ¹³	抹，〖抹桌子〗。
뷸	U0-36201	xɑ¹³	修（枝）。
덾	U0-36202	xɑ¹³	（用手）剔。
뺞	U0-36203	xɑ¹³	梳理，理顺。
둝	U0-36204	xɑ¹³	啃。使…咬。〖希夺，喜德〗。
럒	U0-36205	xɑ²¹	〖地椒（一种香料）〗。〖明年〗。〖早晨〗。
벿	U0-36206	xɑ²¹	〖人熊〗。
륍	U0-36207	xᴀ⁵⁵	〖清明（节日）〗。
뇻	U0-36208	xᴀ²¹	〖蚂蝗〗。
뤘	U0-36209	xæ³³	〖粥〗。
뗂	U0-36210	xo⁵⁵	放出（塘水、田水），排水，〖放出田水〗。
