glyph_unified	src_ref	pronunciation	meaning
	U1-09503		赔偿。
	U1-09504		骑（使动）。
	U1-09505		芒。
	U1-09506		〖狮子〗。
	U1-09507		（词尾）子。〖磨担秋〗。
	U1-09601		对（正）。对（准）。
	U1-09602		酱。
	U1-09603		段，截（量词）。
	U1-09604		里（量词）。
	U1-09605		连接，链接。
	U1-09701		接（受）。
	U1-09702		移动，挪动。让开，走开。
	U1-09703		积，攒（钱）。
	U1-09704		砖。
	U1-09801		唱。
	U1-09802		戳。
	U1-09803		煨（wei）。热（动词）。
	U1-09804		顽皮，俏皮。开玩笑。
	U1-09805		（果）蒂。事因。〖人名用词〗。
	U1-09901		〖毛茸茸〗。〖面容憔悴〗。
	U1-09902		插（使动）。
	U1-09903		训练。
	U1-09904		章节。
	U1-09905		坛（名，量词）。〖深潭〗。
	U1-09906		绒。
	U1-09907		〖要紧，重要〗。
	U1-09908		轮流。〖村庄〗。〖“乐作”，彝族的一种舞蹈〗。
	U1-10001		〖锛子（锛子是削平木料的工具〗）。
	U1-10002		好。康复。
	U1-10003		官。
	U1-10004		〖蹲起〗。
	U1-10005		立（起）。竖（起）。
	U1-10006		陡峭。〖先生。师傅〗。
	U1-10101		怂恿，唆使。
	U1-10102		暴（露）。
	U1-10103		（（1）涌泉。（2）洪水。（3）瀑布）。
	U1-10104		挑拨。
	U1-10105		〖准备，预备〗。
	U1-10106		挖。
	U1-10107		（牲畜）刨（地）。
	U1-10201		（二）十。
	U1-10202		〖板栗〗。
	U1-10203		（捆）把。
	U1-10204		办（事）。
	U1-10205		制造。
	U1-10206		并排。
	U1-10207		重字。
	U1-10301		韭菜。
	U1-10302		走样。
	U1-10303		〖耳坠，耳环〗。
	U1-10304		瞪（眼）。
	U1-10305		〖泥鳅〗。
	U1-10306		〖云雀〗。
	U1-10401		差遣，派遣。
	U1-10402		留（念，下）。
	U1-10403		
	U1-10501		〖饭盆〗。
	U1-10502		眨（眼）。
	U1-10503		掐。
	U1-10504		取（取火种）。
	U1-10601		滗（挡住渣滓或泡着的东西，把液体到或舀出来）。
	U1-10602		鹿。
	U1-10603		采（摘）。
	U1-10604		代。
	U1-10605		班，辈。
	U1-10606		剪。裁剪。
	U1-10607		签。
	U1-10701		蜻蜓。
	U1-10702		细。吝啬。卦名（且舍，彝语称离，坎二卦）。
	U1-10703		（动物）油。
	U1-10704		请（客）。
	U1-10705		（打）捞。
	U1-10706		重字。
	U1-10801		梯（量词）。
	U1-10802		葛（根）。
	U1-10803		齐，足够。
	U1-10804		赶紧。
	U1-10805		钹。
	U1-10806		〖草莓〗。
	U1-10807		〖腼腆〗。
	U1-10901		碎。自己的。
	U1-10902		插。
	U1-10903		晴。太阳神。
	U1-10904		伞。
	U1-10905		编（辫子）。
	U1-10906		斧头。
